"post_id","message","created_at","permalink_url","like_count","comment_count","share_count","loaded_at"
"625982470938319_875713861721194","TEKİRDAĞ'DA NELER OLUYOR?

Renkly Fuarcılık                      
ana sponsorluğunda, Kahve molası canlı yayınımız da gündemi yorumluyoruz 
29 Ocak Perşembe 

#herkes
@sıkı hayranlar","2026-01-29 08:03:59","https://www.facebook.com/1424887865754957/videos/875713861721194",31,46,45,"2026-01-30 13:40:02.611756"
"625982470938319_1423893125854431","Tekirdağ'da neler oluyor?

Renkly Fuarcılık ana sponsorluğunda Ercan Kılıçlı ve Gülgün Pala Keçeci ile Kahve molası saat 11.00'de başlıyor.
Bekliyoruz","2026-01-29 06:54:07","https://www.facebook.com/1424887865754957/posts/1423893125854431",0,0,1,"2026-01-30 13:40:02.611756"
"625982470938319_1423474062563004","KAMUOYUNA DUYURU
Son günlerde yerel basında ve sosyal medyada şirketimizle ilgili çıkan haberler üzerine, kamuoyunu doğru bilgilendirmek amacıyla bu açıklamanın yapılması zaruri hale gelmiştir.

Şirketimize tapulu olan arazi üzerinde, herhangi bir hukuki dayanağı olmaksızın bir kooperatif tarafından proje çalışması yapıldığı ve çeşitli paylaşımlarda bulunulduğu görülmüştür.

Bir bölümü Çorlu Belediyesi’ne ait olan ve şirketimiz üzerine tapulu bulunan, Tekirdağ ili Çorlu ilçesi Muhittin Mahallesi 1329 Ada 6 Parsel numaralı, toplam 23.969,45 m² yüzölçümlü taşınmazda şirketimize ait 21.596 m²’lik kısım için, 24 Aralık 2023 tarihinde İzpolimer A.Ş. ile kat karşılığı inşaat sözleşmesi imzalanmıştır.

Söz konusu sözleşme kapsamında İzpolimer A.Ş., sözleşme şartlarındaki yükümlülüklerini verilen süre içinde yerine getirmemesi ve işlerin aksaması nedeniyle, tarafımızca Mayıs 2024 tarihinde ihtar çekilmiş, akabinde sözleşmenin feshi için dava açılmış olup yargı süreci halen devam etmektedir.

Bu süreç haricinde; şirketimizin herhangi bir kooperatif, kişi ya da şirket ile yapılmış geçerli bir sözleşmesi, protokolü, taahhüdü veya ortaklığı bulunmamaktadır.

Şirketimize ait taşınmazlar üzerinde yapılan izinsiz proje çalışmaları ve paylaşımlar hukuken yok hükmündedir ve şirketimizi bağlamamaktadır.

Şirketlerimizin Çorlu bölgesindeki gayrimenkullerinin tek yetkili ve sorumlu danışmanı, Şemsi Gayrimenkul adına Sn. Şemsi Turhan’dır. Bunun dışında yapılan hiçbir açıklama, ilan, satış vaadi veya yönlendirme şirketimizi bağlamaz.

Kamuoyuna saygıyla duyurulur.

BEE GAYRİMENKUL YAPI TİC A.Ş.
MİMART YAPI TASARIM İNŞAAT SAN. Ve TİC. A.Ş.
İMAR YÖNETİM HİZMETLERİ TİC. LTD. ŞTİ.","2026-01-28 18:01:21","https://www.facebook.com/1424887865754957/posts/1423474062563004",6,2,1,"2026-01-30 13:40:02.611756"
"625982470938319_1423322599244817","Ergene Belediyesi; Okuma Yazma kursu düzenledi.","2026-01-28 14:11:03","https://www.facebook.com/reel/765622416067565/",2,0,0,"2026-01-30 13:40:02.611756"
"625982470938319_1423049885938755","Milletvekillerine de Maaş Yetmiyormuş.

AKPARTİ Milletvekili Mestan Özcan 
''Aylık milletvekili + Emekli milletvekili maaşımı sana vereyim, benim masrafları idare et bakalım görelim'' dedi.","2026-01-28 06:43:32","https://www.facebook.com/reel/2657286074634003/",244,1197,389,"2026-01-30 13:40:02.611756"
"625982470938319_1423026765941067","Mestan Özcan ''Ben bu adamı (milletvekilini) görmedim bile; ne küfürü'' dedi.

AK Parti Tekirdağ Milletvekili Mestan Özcan, Türkiye Büyük Millet Meclisi’nde yaşanan küfürlü arbede iddialarına ilişkin soruyu cevapladı.

TBMM Genel Kurulu’nda sabaha karşı yaşanan olayların bir provokasyon sonucu geliştiğini ifade eden Özcan, ne karakteri ne de aile terbiyesi gereği Meclis’te küfür etmesinin mümkün olmadığını vurguladı.","2026-01-28 06:01:06","https://www.facebook.com/reel/2794052130938539/",96,40,8,"2026-01-30 13:40:02.611756"
"625982470938319_1423006365943107","Başkan Futbolcu Transferinde;
Kapaklı Belediye Başkanı Mustafa ÇETİN","2026-01-28 05:21:28","https://www.facebook.com/reel/1553600375832560/",20,0,0,"2026-01-30 13:40:02.611756"
"625982470938319_1963048151275469","AK Parti Tekirdağ Milletvekili Mestan Özcan Çorlu'da basın mensuplarına gündemi değerlendiriyor","2026-01-27 15:57:30","https://www.facebook.com/1424887865754957/videos/1963048151275469",58,42,25,"2026-01-30 13:40:02.611756"
"625982470938319_1422283626015381","NATO Limanı satışa çıktı şimdi ne olacak konuştuk..","2026-01-27 09:42:05","https://www.facebook.com/reel/1541486477085487/",27,11,14,"2026-01-30 13:40:02.611756"
"625982470938319_1421807872729623","Kapaklı Belediyesi Şehir içindeki çöp kovalarını değiştiriyor.","2026-01-26 18:58:00","https://www.facebook.com/reel/4400737880156559/",22,1,1,"2026-01-30 13:40:02.611756"
